,name_game_2weeks,playtime_2weeks_game_count,playtime_2weeks_game_max,playtime_2weeks_game_median,playtime_2weeks_game_mean,playtime_2weeks_game_min,appid_game_2weeks,playtime_2weeks_game,playtime_forever_game_2weeks,steam_appid_2weeks_game_,price_overview_2weeks_game_,genres_2weeks_game_,developers_2weeks_game_,publishers_2weeks_game_,categories_2weeks_game_,release_date_2weeks_game_,metacritic_2weeks_game_
38,TotalWar:WARHAMMERIII,39,2958,912.0,1135.051282051282,52,1142710,209,1572,1142710,59,"['Action', 'Strategy']","['CREATIVEASSEMBLY', 'FeralInteractive']","['SEGA', 'FeralInteractive']","['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","Feb16,2022",86
39,Overwatch®2,36,2560,398.5,564.0277777777778,37,2357570,2560,9259,2357570,0,"['Action', 'FreetoPlay']","['BlizzardEntertainment,Inc.']","['BlizzardEntertainment,Inc.']","['Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'In-AppPurchases']","Aug10,2023",No score
40,EASPORTSFC™24,35,5508,474.0,1066.4571428571428,17,2195250,775,12754,2195250,69,"['Simulation', 'Sports']",['EACanada&EARomania'],['ElectronicArts'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'In-AppPurchases', 'RemotePlayTogether', 'HDRavailable']","Sep28,2023",No score
41,RiskofRain2,35,2437,384.0,501.14285714285717,1,632360,151,14007,632360,24,"['Action', 'Indie']",['HopooGames'],['GearboxPublishing'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Fullcontrollersupport', 'SteamCloud', 'SteamLeaderboards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Aug11,2020",85
42,VampireSurvivors,34,2035,394.0,518.1176470588235,1,1794680,2035,2035,1794680,4,"['Action', 'Casual', 'Indie', 'RPG']",['poncle'],['poncle'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayTogether', 'FamilySharing']","Oct20,2022",86
43,AbioticFactor,34,1857,787.5,847.3823529411765,149,427410,1096,1459,427410,24,"['Action', 'Adventure', 'RPG', 'Simulation', 'EarlyAccess']",['DeepFieldGames'],['Playstack'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'SteamAchievements', 'PartialControllerSupport', 'FamilySharing']","May2,2024",No score
44,TheBindingofIsaac:Rebirth,33,1919,155.0,367.3333333333333,1,250900,595,1870,250900,5,['Action'],"['Nicalis,Inc.', 'EdmundMcMillen']","['Nicalis,Inc.']","['Single-player', 'Multi-player', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","4Nov,2014",No score
45,RimWorld,33,5683,1048.0,1163.3939393939395,15,294100,111,31238,294100,34,"['Indie', 'Simulation', 'Strategy']",['LudeonStudios'],['LudeonStudios'],"['Single-player', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'RemotePlayonTablet', 'FamilySharing']","Oct17,2018",87
46,GolfWithYourFriends,32,2490,92.5,248.375,4,431240,295,29023,431240,14,"['Casual', 'Indie', 'Sports']","['BlacklightInteractive', 'Team17']",['Team17'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'SteamAchievements', 'SteamWorkshop', 'PartialControllerSupport', 'Stats', 'Includesleveleditor', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayTogether', 'FamilySharing']","May19,2020",No score
47,PathofExile,32,11853,572.0,2133.875,1,238960,5639,75005,238960,0,"['Action', 'Adventure', 'Indie', 'MassivelyMultiplayer', 'RPG', 'FreetoPlay']",['GrindingGearGames'],['GrindingGearGames'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'In-AppPurchases', 'RemotePlayonTablet']","Oct23,2013",86
