,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date
340,AbyssOdyssey,1,0.0,0.0,0,0,,,0,14,"['Action', 'Adventure', 'Indie']",['ACETeam'],['SEGA'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'SteamLeaderboards', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Jul15,2014"
341,AceofSpades,2,752.0,752.0,1504,0,1063.4885989045674,1.414213562373095,0,0,"['Action', 'Indie']",['JagexLimited'],['JagexLimited'],"['Multi-player', 'Co-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'Includesleveleditor', 'FamilySharing']",Unknown
343,AcrosstheObelisk,2,24950.5,24950.5,26567,23334,2286.076223576108,0.09162446538450564,26567,19,"['Adventure', 'Indie', 'RPG', 'Strategy']",['DreamsiteGames'],"['ParadoxInteractive', 'ParadoxArc']","['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'SteamCloud', 'SteamLeaderboards', 'FamilySharing']","Aug16,2022"
345,Action!-GameplayRecordingandStreaming,5,12989.6,10571.0,36460,2496,13742.640550491016,1.0579725742510173,3656,29,"['AudioProduction', 'Education', 'SoftwareTraining', 'Utilities', 'VideoProduction', 'WebPublishing']",['Mirillis'],['Mirillis'],[],"May8,2014"
350,ActionHenk,1,190048.0,190048.0,190048,190048,,,190048,14,"['Action', 'Indie', 'Racing']",['RageSquid'],['RageSquid'],"['Single-player', 'Multi-player', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'SteamTurnNotifications', 'Includesleveleditor', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","May11,2015"
351,ActionTaimanin,4,8948.5,4410.0,26974,0,12296.779375104685,1.3741721378001548,2481,0,"['Action', 'Adventure', 'RPG', 'FreetoPlay']",['LiLith'],['Infini-Braininc.'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'In-AppPurchases', 'PartialControllerSupport', 'RemotePlayonPhone', 'RemotePlayonTablet']","Oct5,2020"
355,AdVentureCapitalist,43,17651.372093023256,8373.0,129442,0,27190.834219871518,1.5404374275594561,40606,0,"['Casual', 'FreetoPlay', 'Indie']",['HyperHippoGames'],['HyperHippoGames'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud']","Mar30,2015"
398,AdVentureCommunist,1,61065.0,61065.0,61065,61065,,,61065,0,"['Casual', 'FreetoPlay', 'Indie', 'Simulation', 'Strategy', 'EarlyAccess']",['HyperHippoGames'],['HyperHippoGames'],"['Single-player', 'In-AppPurchases']","Aug23,2016"
399,AegisDefenders,1,0.0,0.0,0,0,,,0,19,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",['GUTSDepartment'],['HumbleGames'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'Captionsavailable', 'SteamCloud', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Feb8,2018"
400,AffectedZoneTactics,1,0.0,0.0,0,0,,,0,0,"['FreetoPlay', 'MassivelyMultiplayer', 'Strategy']",['LightVisionInteractive'],['LightVisionInteractive'],"['Single-player', 'Multi-player', 'MMO', 'Co-op']","Nov17,2015"
401,Aftermath,1,0.0,0.0,0,0,,,0,0,"['Violent', 'Action', 'FreetoPlay', 'Indie', 'MassivelyMultiplayer']",['FreeReignEntertainment'],"['OPProductionsLLC', 'FreeReignEastLLC']","['Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'FamilySharing']","Sep24,2015"
402,AgainsttheStorm,5,8402.2,6744.0,20643,0,9117.175231397057,1.0850938125011373,6744,29,"['Simulation', 'Strategy']",['EremiteGames'],['HoodedHorse'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","Dec8,2023"
407,Agarest:GenerationsofWar,1,12021.0,12021.0,12021,12021,,,12021,14,"['Adventure', 'RPG', 'Strategy']",['IdeaFactory'],['GhostlightLTD'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'SteamLeaderboards', 'FamilySharing']","Feb4,2014"
408,AgathaChristie-TheABCMurders,1,0.0,0.0,0,0,,,0,14,['Adventure'],['ArtefactsStudio'],['Microids'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'FamilySharing']","Feb4,2016"
409,AgeofEmpires:DefinitiveEdition,1,3959.0,3959.0,3959,3959,,,3959,19,['Strategy'],"['ForgottenEmpires', 'Tantalus']",['XboxGameStudios'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'Includesleveleditor', 'FamilySharing']","Aug19,2019"
410,AgeofEmpiresII(2013),32,15948.28125,11894.5,95761,0,21033.985067541827,1.3188872667731406,0,19,['Strategy'],"['SkyboxLabs', 'HiddenPathEntertainment', 'EnsembleStudios', 'ForgottenEmpires']",['XboxGameStudios'],"['Single-player', 'Multi-player', 'SteamAchievements', 'SteamTradingCards', 'Captionsavailable', 'SteamWorkshop', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'Includesleveleditor', 'FamilySharing']","Apr9,2013"
442,AgeofEmpiresII:DefinitiveEdition,27,13426.407407407407,10469.0,52010,0,13502.371373660653,1.0056578028617944,40384,19,['Strategy'],"['ForgottenEmpires', 'TantalusMedia', 'WickedWitch', ""World'sEdge""]",['XboxGameStudios'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'Includesleveleditor', 'FamilySharing']","Nov14,2019"
