column1,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date,hours_per_dollar
1587,Assassin'sCreedUnity,3,853.6666870117188,1078,1483,0,766.5287475585938,0.8979251384735107,1078,29,"['Action', 'Adventure']",['Ubisoft'],['Ubisoft'],"['Single-player', 'Multi-player', 'Co-op', 'In-AppPurchases', 'PartialControllerSupport', 'FamilySharing']","Nov11,2014",0.026901669758812616
15463,NeedforSpeed™Heat,7,3424.142822265625,3114,9582,0,3020.140380859375,0.8820135593414307,0,69,"['Action', 'Adventure', 'Racing', 'Sports']",['GhostGames'],['ElectronicArts'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'RemotePlayonTablet', 'HDRavailable']","Jun4,2020",0.022157996146435453
11435,ForzaHorizon5,18,7044.0556640625,2660,28700,66,8213.1845703125,1.1659737825393677,1611,57,"['Action', 'Adventure', 'Racing', 'Simulation', 'Sports']",['PlaygroundGames'],['XboxGameStudios'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'HDRavailable', 'FamilySharing']","8Nov,2021",0.02142857142857143
11064,FarCryPrimal,3,1474,1374,3048,0,1526.4586181640625,1.035589337348938,3048,29,"['Action', 'Adventure']",['Ubisoft'],['Ubisoft'],"['Single-player', 'SteamTradingCards', 'PartialControllerSupport']","Feb29,2016",0.021106259097525473
21406,TalesofBerseria,4,2747.25,2363,6263,0,3233.7138671875,1.1770730018615723,6263,49,"['Action', 'RPG']",['BANDAINAMCOStudiosInc.'],['BANDAINAMCOEntertainment'],"['Single-player', 'Multi-player', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Jan26,2017",0.02073635209479475
11039,FarCry5,21,8329.857421875,2846,100412,0,21360.900390625,2.564377784729004,3195,59,"['Action', 'Adventure']","['UbisoftMontreal', 'RedStorm', 'UbisoftShanghai', 'UbisoftToronto', 'UbisoftKiev']",['Ubisoft'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamTradingCards', 'Captionsavailable', 'In-AppPurchases', 'PartialControllerSupport', 'Includesleveleditor']","Mar26,2018",0.02073085031623331
13263,Half-Life2:Deathmatch,17,11060.8232421875,196,60414,0,19112.15234375,1.7279139757156372,36113,4,['Action'],['Valve'],['Valve'],"['Multi-player', 'ValveAnti-Cheatenabled', 'IncludesSourceSDK', 'FamilySharing']","Nov1,2004",0.02040816326530612
20230,Sekiro™:ShadowsDieTwice,7,17204.427734375,3113,85850,0,31506.796875,1.831318974494934,0,63,"['Action', 'Adventure']",['FromSoftware'],"['Activision(ExcludingJapanandAsia)', 'FromSoftware(Japan)', '方块游戏(Asia)']","['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","21Mar,2019",0.020237712817218118
1910,Battlefield4™,9,4534.5556640625,1958,14811,0,5478.76904296875,1.2082263231277466,14811,39,['Action'],['DICE'],['ElectronicArts'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'HDRavailable']","Jun11,2020",0.019918283963227784
20240,SeriousSam3:BFE,4,9314.5,1477,34076,228,16518.193359375,1.7733848094940186,34076,29,"['Action', 'Indie']",['Croteam'],['DevolverDigital'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'SteamLeaderboards', 'Includesleveleditor', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Nov22,2011",0.01963439404197698
