APIname,sub_APIname,version,httpmethod,parameters
IPlayerService,GetOwnedGames,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""steamid"",
                                ""type"": ""uint64"",
                                ""optional"": false,
                                ""description"": ""The player we're asking about""
                            },
                            {
                                ""name"": ""include_appinfo"",
                                ""type"": ""bool"",
                                ""optional"": false,
                                ""description"": ""true if we want additional details (name, icon) about each game""
                            },
                            {
                                ""name"": ""include_played_free_games"",
                                ""type"": ""bool"",
                                ""optional"": false,
                                ""description"": ""Free games are excluded by default.  If this is set, free games the user has played will be returned.""
                            },
                            {
                                ""name"": ""appids_filter"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""if set, restricts result set to the passed in apps""
                            },
                            {
                                ""name"": ""include_free_sub"",
                                ""type"": ""bool"",
                                ""optional"": false,
                                ""description"": ""Some games are in the free sub, which are excluded by default.""
                            },
                            {
                                ""name"": ""skip_unvetted_apps"",
                                ""type"": ""bool"",
                                ""optional"": true,
                                ""description"": ""if set, skip unvetted store apps""
                            },
                            {
                                ""name"": ""language"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Will return appinfo in this language""
                            },
                            {
                                ""name"": ""include_extended_appinfo"",
                                ""type"": ""bool"",
                                ""optional"": false,
                                ""description"": ""true if we want even more details (capsule, sortas, and capabilities) about each game.  include_appinfo must also be true.""
                            }
                        ]"
IPlayerService,GetSteamLevel,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""steamid"",
                                ""type"": ""uint64"",
                                ""optional"": false,
                                ""description"": ""The player we're asking about""
                            }
                        ]"
IPlayerService,GetBadges,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""steamid"",
                                ""type"": ""uint64"",
                                ""optional"": false,
                                ""description"": ""The player we're asking about""
                            }
                        ]"
IPlayerService,GetCommunityBadgeProgress,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""steamid"",
                                ""type"": ""uint64"",
                                ""optional"": false,
                                ""description"": ""The player we're asking about""
                            },
                            {
                                ""name"": ""badgeid"",
                                ""type"": ""int32"",
                                ""optional"": false,
                                ""description"": ""The badge we're asking about""
                            }
                        ]"
IAuthenticationService,GetPasswordRSAPublicKey,1,GET,"[
                            {
                                ""name"": ""account_name"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""user-provided account name to get an RSA key for""
                            }
                        ]"
IContentServerConfigService,GetSteamCacheNodeParams,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""cache_id"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""Unique ID number""
                            },
                            {
                                ""name"": ""cache_key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Valid current cache API key""
                            }
                        ]"
IContentServerDirectoryService,GetCDNForVideo,1,GET,"[
                            {
                                ""name"": ""property_type"",
                                ""type"": ""int32"",
                                ""optional"": false,
                                ""description"": ""ECDNPropertyType""
                            },
                            {
                                ""name"": ""client_ip"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""client IP address""
                            },
                            {
                                ""name"": ""client_region"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""client region""
                            }
                        ]"
IContentServerDirectoryService,PickSingleContentServer,1,GET,"[
                            {
                                ""name"": ""property_type"",
                                ""type"": ""int32"",
                                ""optional"": false,
                                ""description"": ""ECDNPropertyType""
                            },
                            {
                                ""name"": ""cell_id"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""client Cell ID""
                            },
                            {
                                ""name"": ""client_ip"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""client IP address""
                            }
                        ]"
IContentServerDirectoryService,GetServersForSteamPipe,1,GET,"[
                            {
                                ""name"": ""cell_id"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""client Cell ID""
                            },
                            {
                                ""name"": ""max_servers"",
                                ""type"": ""uint32"",
                                ""optional"": true,
                                ""description"": ""max servers in response list""
                            },
                            {
                                ""name"": ""ip_override"",
                                ""type"": ""string"",
                                ""optional"": true,
                                ""description"": ""client IP address""
                            },
                            {
                                ""name"": ""launcher_type"",
                                ""type"": ""int32"",
                                ""optional"": true,
                                ""description"": ""launcher type""
                            },
                            {
                                ""name"": ""ipv6_public"",
                                ""type"": ""string"",
                                ""optional"": true,
                                ""description"": ""client public ipv6 address if it knows it""
                            },
                            {
                                ""name"": ""current_connections"",
                                ""type"": ""{message}"",
                                ""optional"": false,
                                ""description"": ""what sources is the client currently using""
                            }
                        ]"
IContentServerDirectoryService,GetClientUpdateHosts,1,GET,"[
                            {
                                ""name"": ""cached_signature"",
                                ""type"": ""string"",
                                ""optional"": false
                            }
                        ]"
