,game_id
8307,200260
8337,232450
8419,363360
8641,375230
8749,219990
8750,620980
8856,1716740
8862,237990
8873,292030
9020,225300
9074,233450
9181,725480
9210,665300
9256,702890
9283,1250410
9296,1147690
9326,376210
9386,1711430
9387,23490
9413,400750
9422,322330
9503,41010
9605,1506830
9619,13560
9649,703080
9678,1361210
9725,1551360
9742,21100
9860,220200
10348,444200
10387,201700
10412,690790
10447,1170950
10502,389570
10505,220700
10521,1022450
10537,601510
10540,211500
10602,1546320
10784,945360
10807,209660
10828,400
10840,1011510
10849,1281930
10886,50130
10887,1325860
10908,367670
10922,400040
10947,812140
10969,92100
11031,1068820
11042,4540
11047,610080
11063,265630
11078,1458140
11096,786520
11159,835570
11192,17470
11212,1268750
11305,6860
11345,34330
11393,630100
11405,251060
11450,739630
11468,445220
11491,379720
11607,304030
11626,311210
11700,326460
11707,1517290
11732,236690
11758,440900
11805,1225330
11858,1049590
12005,7000
12186,1397920
12196,206480
12264,1113000
12265,482730
12351,1276760
12398,824270
12548,1029780
12691,200510
12708,4920
12749,1343370
12776,304410
12866,221680
12994,20590
13043,2810
13192,552990
13194,482920
13245,1013320
13351,3910
13423,17080
13467,2100
13490,635260
13512,314160
13522,47890
13607,493340
13746,794600
13753,4560
13931,109600
14012,33910
14234,1549250
14530,351940
14571,457140
14578,342200
14694,1184370
14821,607050
14856,602320
14872,958260
14902,1286830
14949,523120
15055,17390
15113,1284210
15153,1591290
15250,226840
15321,1761390
15389,513650
15523,295270
15541,42700
15554,702320
15601,8650
15619,550320
15655,1091500
15750,1687950
15860,1891700
15950,9480
15983,633230
16014,1089350
16063,504230
16067,287700
16183,292730
16272,33900
16397,6900
16516,1811260
16784,784080
16968,1245620
16998,239350
17052,1283970
17054,1433140
17089,1237950
17130,61700
17158,365670
17168,1238860
17173,212200
17229,1714040
17249,304390
17344,505460
17433,351970
17584,1404210
17690,817130
17833,266840
17987,223710
18657,253710
18661,447020
18785,1928420
18982,39120
19084,265930
19092,32370
19174,524660
19253,1535560
19258,9900
19579,442080
19601,663390
19843,10500
19867,104700
20222,1056640
20300,364470
20429,766570
20472,1670
20815,42910
20824,419590
20827,834910
20828,961620
20838,105430
20904,505110
20986,518790
21027,10680
21098,50120
21135,99910
21160,677160
21202,57690
21231,339600
21234,568220
21255,526870
21261,700580
21290,291650
21291,47830
21295,482450
21297,325610
21379,805550
21430,1849820
21516,569480
21519,1290000
21532,602960
21543,774941
21578,872820
21636,212740
21698,657200
21739,208090
21787,209710
21789,714010
21816,423230
21866,244930
21871,301520
21933,466240
21950,213670
21986,269210
22010,532170
22014,297000
22021,506540
22045,338180
22057,470220
22080,1692250
22081,239450
22134,700330
22141,285310
22152,360940
22160,1569040
22162,457420
22164,644560
22172,1276390
22176,1364390
22179,887570
22217,1213210
22228,1623730
22245,380600
22248,2195250
22301,897410
22422,760160
22455,585620
22478,42680
22547,962730
22637,485610
22800,1953520
22808,504370
22811,228380
22812,2167580
22819,397900
22832,2741560
22842,818790
22872,221380
22879,217490
22883,2073850
22914,624910
22969,1569700
23015,22300
23035,224260
23037,427700
23042,476620
23055,671860
23086,838350
23104,382850
23112,365590
23115,384300
23133,418460
23135,19900
23136,417860
23142,631510
23148,1009850
23149,836620
23150,586140
23152,1714320
23156,323370
23195,823130
23210,241930
23237,516750
23279,2212330
23301,222900
23304,243870
23334,1527950
23342,1293830
23353,431240
23409,767420
23473,658560
23489,238370
23525,583470
23538,884660
23542,4760
23554,16110
23610,1150950
23616,24240
23627,663090
23690,356190
23723,271730
23788,248570
23802,692890
23823,686810
23844,2358260
23872,553850
23891,289650
23893,542310
23929,6370
23938,268850
23957,770720
23978,550900
23986,924970
23995,234350
24027,43110
24079,1203220
24101,585410
24119,241240
24122,566050
24127,493490
24131,445980
24159,345610
24171,102700
24214,2087030
24220,715670
24222,779340
24239,203160
24251,1030840
24261,1128810
24279,333930
24311,937310
24317,815370
24358,347560
24381,437920
24430,367520
24431,868270
24466,298110
24484,9450
24637,385770
24645,716230
24665,2337630
24697,319630
24698,418530
24708,70300
24787,223650
24797,17450
24801,616560
24802,249230
24807,575490
24817,810500
24898,427100
24902,251290
24918,228280
24929,342180
24948,24980
24959,619780
