,steamid,Action_weighted_playtime (in_minutes),FreetoPlay_weighted_playtime (in_minutes),Adventure_weighted_playtime (in_minutes),Indie_weighted_playtime (in_minutes),Racing_weighted_playtime (in_minutes),Simulation_weighted_playtime (in_minutes),Sports_weighted_playtime (in_minutes),MassivelyMultiplayer_weighted_playtime (in_minutes),RPG_weighted_playtime (in_minutes),Strategy_weighted_playtime (in_minutes),Casual_weighted_playtime (in_minutes),total_price(dollar),Principal Component 1,Principal Component 2,Principal Component 3,Cluster_Labels
10,76561197968211152,187777.37037682222,125826.21512305997,15696.716387299679,0.0,0.0,0.0,11917.0,21463.124162170516,4206.57395064763,0.0,0.0,13,-0.3072283198020341,-1.3462316745980634,0.03126660537383508,2
11,76561197969349856,11943.054712212164,23593.208812798206,128.14041792505495,2343.4205548851023,0.0,3538.6859180880556,0.0,0.0,2294.5844424492157,0.0,1017.9051416422027,37,-1.0625938602044354,0.4148157873533312,-0.2173493510070088,0
12,76561197969889312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,-1.0793320977315954,0.6657213195980055,-0.2102715210057025,0
13,76561197970238512,47810.34986365628,51367.24414429822,842.8663757958356,0.0,0.0,0.0,0.0,2390.596030450527,2028.531452478304,0.0,2508.4121333208273,18,-1.0348374987243258,-0.028118597051798654,-0.24225443736803182,0
14,76561197970558752,7002.242554186071,17414.927562369096,15914.535635260383,43645.49149409309,0.0,94499.53720167643,0.0,0.0,4928.650805292155,143820.61474712277,0.0,158,1.0971151798602563,2.165238268534167,-0.0377670392497215,3
15,76561197970854832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,-1.187558053760592,0.5356874272809635,-0.21507274841659663,0
16,76561197970957152,88175.10162613986,79378.54170296545,5628.764572672626,6333.811349346548,0.0,9556.182114010482,10202.986701161626,12602.638697944742,8039.352456601525,10514.33128548713,5531.2894936700395,57,-0.379329560795848,-0.15415158152001487,0.05853654272966635,0
17,76561197971019312,20577.388630758483,36253.26886099155,14105.190617999451,22211.54742749543,0.0,10130.856364175888,0.0,23741.677021085296,20145.912550008143,0.0,16602.158527485764,57,-0.12308641897424828,0.4868741754124408,-0.29000414814051584,0
18,76561197971079616,24747.84766838592,3327.8469895091434,52927.97920882329,46136.67074399841,0.0,0.0,0.0,94870.03596223479,80501.61942704844,3518.0,0.0,158,1.923960922104659,0.597385974371856,-0.6260034428447595,3
19,76561197971218528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,-1.0596546511808693,0.6893638454738312,-0.20939857056735842,0
20,76561197971542448,343016.1252507417,321485.2041387985,72386.17824319263,0.0,0.0,0.0,0.0,121839.49236726703,0.0,0.0,0.0,27,1.759034870142692,-3.5596381259398475,-0.684977767254426,1
21,76561197972047360,16644.406502338625,1486.0731846918732,6277.727552902442,7714.086388306666,0.0,11062.589754685288,0.0,2741.2425677782358,9763.874049296874,0.0,0.0,158,-0.40852095792337223,1.006258649045685,-0.21414963748697638,0
22,76561197972145744,20723.799629019795,0.0,4226.591561832153,0.0,0.0,7675.594923671113,0.0,7114.145032043219,69192.681551869,8445.187301564734,0.0,90,-0.022414047231006328,0.7355646468472692,-0.3801863571163972,0
23,76561197972280320,35730.01668880296,3035.6368047873602,81375.26523851123,1663.9319826581584,0.0,142346.52833893796,0.0,140015.82600675017,118809.91321059597,156618.8817289563,0.0,32,4.212478172934757,1.2068058368109384,-0.6679237028739511,3
24,76561197972350400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,-1.2039559258861978,0.5159853223844421,-0.215800207115217,0
25,76561197973200064,24589.80914959304,52284.446272381734,0.0,0.0,0.0,0.0,0.0,0.0,9515.0,26209.83967259893,3855.904905426301,26,-0.9002325334866248,0.23119210737465679,-0.24684537365924747,0
26,76561197973691328,111921.91930957059,1548.0806904294134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,-1.0187887707517727,-0.19594108788096204,-0.23530432715152572,0
27,76561197973929984,31508.29854344559,35794.37030617926,11215.799022222653,229.9420137058513,0.0,370.05798629414863,0.0,17197.53212815249,0.0,0.0,0.0,13,-0.869504060821956,0.011033891671522394,-0.2813962165701625,0
28,76561197974132304,85627.96397949278,145837.60540166235,17260.197178214657,0.0,0.0,0.0,0.0,29052.143840048317,27070.08960058191,0.0,0.0,67,-0.019252628591445782,-0.6010865545096276,-0.3971328506582893,2
29,76561197975743072,124361.35007202999,243427.38017480518,2258.514174759238,0.0,0.0,0.0,0.0,1927.7555784056046,0.0,7737.0,0.0,85,-0.4810194812550537,-1.0248088086479543,-0.27328270385278225,2
30,76561197975877648,347458.8212311493,396833.35289117036,7007.872320161171,0.0,0.0,0.0,0.0,11795.561345903154,0.0,338713.39221161604,0.0,37,1.3573472579166561,-2.3257774275647387,-0.3517737374134067,1
31,76561197978124896,581896.7805762084,898008.5427007079,8426.052529390605,0.0,0.0,0.0,0.0,14182.624193692998,0.0,0.0,0.0,9,0.9454315793849014,-6.858732375399128,-0.4941602473103086,1
32,76561197978619792,249639.64222583798,405775.4141462231,2617.015873689896,0.0,0.0,0.0,0.0,4404.927754249033,0.0,0.0,0.0,9,-0.33192425068177706,-2.774780958445532,-0.3352794236731461,2
